ZOHO DESK - Customer Support Metrics Dashboard
Export Date: 14/02/2024 16:22:11 
Department: Customer Success
Time Zone: UTC-5

Week Ending,Tkt Created,Resolved Tickets,Open Tkt,Response Time,Resolution Hrs,CSAT,FCR %,Agent,Priority,Status
01-Jan-2024,89,82,45,2.3 hrs,18.5,87%,62.5%,Team Average,Mixed,Active
1/8/24,95,88,52,"2.1","17.2 hours",88,64.2,Team Average,Mixed,Active
2024-01-15,102,91,63,2.8h,19.8 hrs,85%,59.8%,Team Average,Mixed,Active
22/01/2024,98,96,65,2 hours,"16.5",89,66.3,Team Average,Mixed,Active
Jan 29 2024,105,102,68,1.9 hrs,15.8,90%,68.6%,Team Average,Mixed,Active
05-FEB-2024,112,108,72,"1.8 hrs","15.2",91,70.4%,Team Average,Mixed,Active
12/02/24,108,105,75,2.2,16.8 hours,88%,67.6,Team Average,Mixed,Active
2024-02-19,115,112,78,1.7 hrs,14.9,92,72.2%,Team Average,Mixed,Active
01/01/2024,12,,,2.1 hrs,,,,,High,Agent: Lisa Wong
8-Jan-2024,,15,,,19.2,,65,Lisa Wong,Medium,
