ZOHO DESK TEAM PERFORMANCE REPORT
Generated: Feb 14 2024 4:30 PM EST
Team: Customer Support | Manager: Alex Rivera

Date,Agent Score,Tickets/Agent,Happiness,SLA %,Escalations,Reopens,Team Size,Shift,Comments
01/JAN/2024,78,12.5,85%,92.3%,8.2%,5.8%,7,Day Shift,
Jan-08-2024,82,"13.2",87,93.8%,"7.5",5.2%,7,Day Shift,Great performance
2024-01-15,75,14.8,83%,90.5,9.1%,"6.5",7,Day Shift,High volume week
22-01-24,84,13.8,88%,94.2%,6.9,4.8%,7,Day Shift,
29/01/2024,86,"14.2 tickets",89,95.1%,6.5%,4.5,7,Day Shift,
Feb 5 2024,88,14.8,90%,"95.8",6.2%,4.2%,8,Day Shift,New hire started
12-FEB-2024,81,14.5,87%,93.5%,"7.2",5.0%,8,Day Shift,
2024/02/19,89,15.2 avg,91,96.2%,5.8%,3.9%,8,Day Shift,Best week!
01/01/2024,,,82,,,,,Night Shift,Partial data
8-Jan-2024,78,,,90.5%,,,,Night Shift,
